表3. N(0, σ)的隨機亂數分佈表
序號     亂數(µm)       序號     亂數(µm)       序號     亂數(µm)       序號     亂數(µm)      
1        -0.1            187      7.6             373      3.6             559      6.4            
2        29.5            188      3.0             374      -6.3            560      16.6           
3        32.5            189      -11.8           375      -24.8           561      -8.5           
4        3.5             190      3.0             376      -16.1           562      3.3            
5        35.4            191      27.7            377      -19.3           563      17.1           
6        11.4            192      6.9             378      -18.0           564      13.1           
7        14.2            193      -5.8            379      -2.7            565      0.9            
8        11.1            194      2.1             380      3.9             566      -33.1          
9        -9.9            195      -33.2           381      -19.7           567      -9.0           
10       3.9             196      -29.8           382      -31.1           568      -39.8          
11       10.4            197      -21.4           383      -21.1           569      -7.5           
12       23.7            198      -22.9           384      12.1            570      17.6           
13       -51.4           199      44.1            385      17.2            571      9.5            
14       -17.1           200      11.4            386      -28.5           572      48.5           
15       27.7            201      19.8            387      7.0             573      -3.9           
16       13.0            202      -5.8            388      -9.1            574      14.1           
17       4.4             203      -14.6           389      -18.7           575      2.2            
18       10.5            204      15.9            390      5.6             576      -18.7          
19       23.7            205      8.2             391      -27.9           577      0.6            
20       -18.9           206      -8.5            392      -27.6           578      -11.4          
21       8.2             207      -35.9           393      -7.7            579      -18.4          
22       -37.6           208      41.8            394      -46.5           580      -12.1          
23       2.6             209      40.4            395      -16.3           581      -4.0           
24       1.9             210      -21.4           396      -26.9           582      52.9           
25       25.2            211      25.0            397      -35.8           583      -10.6          
26       -14.7           212      -5.9            398      -17.9           584      -13.8          
27       10.9            213      -12.4           399      0.7             585      -14.5          
28       19.1            214      -20.8           400      -6.5            586      -0.0           
29       -14.1           215      -9.1            401      43.8            587      23.0           
30       6.2             216      3.3             402      -3.6            588      -23.2          
31       1.0             217      -28.7           403      -17.9           589      -49.1          
32       -3.5            218      2.3             404      14.0            590      -1.7           
33       -10.0           219      -30.7           405      12.2            591      19.9           
34       -13.2           220      -3.4            406      -19.0           592      -48.3          
35       -23.4           221      -19.1           407      -2.5            593      15.4           
36       -9.3            222      25.1            408      -23.7           594      25.0           
37       -18.6           223      -14.1           409      -7.6            595      3.5            
38       -0.9            224      -4.5            410      -6.6            596      -39.2          
39       31.3            225      8.6             411      41.9            597      0.4            
40       -5.9            226      -4.2            412      13.4            598      11.3           
41       19.4            227      -11.5           413      -23.8           599      16.6           
42       9.8             228      -35.3           414      -29.1           600      14.2           
43       27.0            229      -7.9            415      -14.5           601      14.7           
44       -0.1            230      22.8            416      6.7             602      22.5           
45       -2.0            231      8.4             417      37.3            603      -24.0          
46       -3.0            232      -23.2           418      -12.4           604      20.7           
47       -24.3           233      19.1            419      -3.6            605      -35.1          
48       40.6            234      -2.8            420      -31.9           606      1.1            
49       -28.5           235      14.8            421      24.0            607      6.5            
50       -2.5            236      3.0             422      11.7            608      21.9           
51       -7.3            237      -46.4           423      17.5            609      -19.6          
52       1.5             238      -21.3           424      14.6            610      3.6            
53       -28.6           239      31.9            425      -41.8           611      26.7           
54       15.6            240      -3.8            426      22.4            612      7.9            
55       -0.9            241      -12.2           427      -1.4            613      15.1           
56       -4.6            242      5.4             428      -12.4           614      -0.6           
57       28.4            243      11.5            429      -9.3            615      -11.9          
58       13.5            244      -14.5           430      21.7            616      20.1           
59       34.4            245      6.1             431      38.0            617      12.1           
60       26.3            246      -25.3           432      20.3            618      21.8           
61       -10.9           247      -13.7           433      36.2            619      -9.1           
62       -5.1            248      -12.5           434      -10.9           620      1.1            
63       24.9            249      3.8             435      -30.6           621      20.9           
64       -8.3            250      38.3            436      -7.9            622      -21.3          
65       -1.5            251      11.9            437      -21.7           623      11.3           
66       -9.0            252      -18.2           438      -22.2           624      9.5            
67       8.3             253      -33.6           439      -7.6            625      31.1           
68       21.5            254      -15.7           440      -30.0           626      39.4           
69       -12.2           255      29.9            441      -18.2           627      26.2           
70       -10.0           256      10.4            442      -2.3            628      -22.5          
71       19.1            257      -21.7           443      2.2             629      -32.7          
72       34.2            258      26.7            444      -15.9           630      -26.8          
73       19.0            259      -16.9           445      -5.4            631      14.5           
74       -27.5           260      -0.7            446      -0.7            632      -10.6          
75       -1.4            261      -14.0           447      -7.2            633      -21.4          
76       6.3             262      -0.3            448      14.0            634      -3.8           
77       1.5             263      -13.7           449      -18.2           635      -2.1           
78       -10.6           264      -14.8           450      9.1             636      -27.2          
79       -35.1           265      -14.9           451      30.0            637      0.5            
80       24.1            266      40.7            452      33.4            638      -21.8          
81       21.2            267      -40.1           453      -10.5           639      -16.7          
82       14.5            268      20.5            454      10.0            640      18.1           
83       -7.6            269      -9.3            455      -19.6           641      -10.7          
84       -26.3           270      11.0            456      9.4             642      -14.0          
85       11.7            271      20.7            457      -33.4           643      30.0           
86       -17.2           272      -29.3           458      -34.5           644      20.6           
87       -4.8            273      14.8            459      -18.4           645      8.7            
88       25.0            274      -5.1            460      -36.7           646      6.2            
89       19.2            275      -20.6           461      10.0            647      -18.2          
90       -6.6            276      -0.6            462      1.4             648      -13.6          
91       7.3             277      -1.8            463      19.8            649      15.7           
92       -13.3           278      6.2             464      6.1             650      1.2            
93       -15.7           279      8.1             465      13.0            651      -10.8          
94       -4.0            280      -6.1            466      -19.7           652      41.4           
95       -25.7           281      15.0            467      17.3            653      -11.8          
96       37.8            282      6.2             468      -0.6            654      -13.4          
97       10.1            283      25.5            469      -13.2           655      -9.9           
98       -15.2           284      28.5            470      22.8            656      -47.7          
99       -0.1            285      -9.8            471      14.9            657      10.5           
100      19.2            286      -5.5            472      -3.8            658      21.1           
101      -3.5            287      21.4            473      5.5             659      10.7           
102      -4.6            288      40.5            474      -7.5            660      -24.0          
103      15.6            289      25.9            475      -16.9           661      -24.9          
104      29.5            290      -0.0            476      4.2             662      17.4           
105      17.4            291      4.2             477      -5.4            663      -12.8          
106      2.7             292      32.2            478      -7.8            664      23.1           
107      10.6            293      -22.5           479      7.2             665      -22.7          
108      0.5             294      -4.9            480      -9.5            666      10.7           
109      -9.0            295      -15.8           481      -6.5            667      -19.3          
110      -13.2           296      27.9            482      33.3            668      -10.7          
111      -15.7           297      -25.0           483      -45.4           669      -13.6          
112      -16.9           298      -10.4           484      -15.3           670      25.0           
113      0.2             299      1.2             485      -25.4           671      16.0           
114      -31.8           300      6.6             486      40.7            672      3.9            
115      -2.6            301      -7.9            487      -5.1            673      25.8           
116      -30.3           302      -20.3           488      32.8            674      -19.2          
